InceptModel	InceptPerf	ModelCNN	CNNPerf	PerfDiff
ImageNetInceptionV2	0,81	CNNModel	0,62	0,19
ImageNetInceptionV2	0,79	CNNModel	0,6	0,19
ImageNetInceptionV2	0,77	CNNModel	0,58	0,19
ImageNetInceptionV2	0,52	CNNModel	0,33	0,19
ImageNetInceptionV2	0,45	CNNModel	0,26	0,19
ImageNetInceptionV2	0,36	CNNModel	0,17	0,19
ImageNetInceptionV2	0,56	CNNModel	0,36	0,2
ImageNetInceptionV2	0,59	CNNModel	0,38	0,21
ImageNetInceptionV2	0,8	CNNModel	0,58	0,22
ImageNetInceptionV2	0,79	CNNModel	0,57	0,22
ImageNetInceptionV2	0,69	CNNModel	0,47	0,22
ImageNetInceptionV2	0,66	CNNModel	0,44	0,22
ImageNetInceptionV2	0,8	CNNModel	0,57	0,23
ImageNetInceptionV2	0,57	CNNModel	0,34	0,23
ImageNetInceptionV2	0,51	CNNModel	0,28	0,23
ImageNetInceptionV2	0,68	CNNModel	0,44	0,24
ImageNetInceptionV2	0,39	CNNModel	0,15	0,24
ImageNetInceptionV2	0,81	CNNModel	0,56	0,25
ImageNetInceptionV2	0,79	CNNModel	0,54	0,25
ImageNetInceptionV2	0,56	CNNModel	0,31	0,25
ImageNetInceptionV2	0,56	CNNModel	0,31	0,25
ImageNetInceptionV2	0,82	CNNModel	0,55	0,27
ImageNetInceptionV2	0,64	CNNModel	0,37	0,27
ImageNetInceptionV2	0,6	CNNModel	0,33	0,27
ImageNetInceptionV2	0,48	CNNModel	0,21	0,27
ImageNetInceptionV2	0,76	CNNModel	0,46	0,3
ImageNetInceptionV2	0,75	CNNModel	0,45	0,3
ImageNetInceptionV2	0,3	CNNModel	0	0,3
ImageNetInceptionV2	0,85	CNNModel	0,54	0,31
ImageNetInceptionV2	0,86	CNNModel	0,54	0,32
ImageNetInceptionV2	0,66	CNNModel	0,32	0,34
ImageNetInceptionV2	0,56	CNNModel	0,22	0,34
ImageNetInceptionV2	0,48	CNNModel	0,13	0,35
ImageNetInceptionV2	0,35	CNNModel	0	0,35
ImageNetInceptionV2	0,75	CNNModel	0,38	0,37
ImageNetInceptionV2	0,75	CNNModel	0,38	0,37
ImageNetInceptionV2	0,37	CNNModel	0	0,37
ImageNetInceptionV2	0,56	CNNModel	0,17	0,39
ImageNetInceptionV2	0,75	CNNModel	0,35	0,4
ImageNetInceptionV2	0,41	CNNModel	0	0,41
ImageNetInceptionV2	0,41	CNNModel	0	0,41
ImageNetInceptionV2	0,86	CNNModel	0,44	0,42
